ent,sex,year,mes,saltrim
Tabasco,Hombre,2007,6,39646.199
Tamaulipas,Hombre,2007,6,35873.809
Tlaxcala,Hombre,2007,6,23746.262
Veracruz de Ignacio de la Llave,Hombre,2007,6,32586.055
Yucatán,Hombre,2007,6,30048.521
Zacatecas,Hombre,2007,6,32897.984
Aguascalientes,Hombre,2007,9,30565.117
Baja California,Hombre,2007,9,40911.449
Baja California Sur,Hombre,2007,9,45445.277
Campeche,Hombre,2007,9,29412.086
Coahuila de Zaragoza,Hombre,2007,9,35783.645
Colima,Hombre,2007,9,35220.91
Chiapas,Hombre,2007,9,25682.406
Chihuahua,Hombre,2007,9,40330.734
Ciudad de México,Hombre,2007,9,38805.379
Durango,Hombre,2007,9,28650.535
Guanajuato,Hombre,2007,9,32090.873
Guerrero,Hombre,2007,9,28660.053
Hidalgo,Hombre,2007,9,34475.824
Jalisco,Hombre,2007,9,36672.453
México,Hombre,2007,9,30832.295
Michoacán de Ocampo,Hombre,2007,9,33253.223
Morelos,Hombre,2007,9,29582
Nayarit,Hombre,2007,9,32872.582
Nuevo León,Hombre,2007,9,43791.063
Oaxaca,Hombre,2007,9,28647.129
Puebla,Hombre,2007,9,29062.332
Querétaro,Hombre,2007,9,37924.184
Quintana Roo,Hombre,2007,9,43948.367
San Luis Potosí,Hombre,2007,9,31743.324
Sinaloa,Hombre,2007,9,40341.238
Sonora,Hombre,2007,9,39261.578
Tabasco,Hombre,2007,9,37851.785
Tamaulipas,Hombre,2007,9,37120.793
Tlaxcala,Hombre,2007,9,23520.48
Veracruz de Ignacio de la Llave,Hombre,2007,9,32029.271
Yucatán,Hombre,2007,9,28210.182
Zacatecas,Hombre,2007,9,31684.834
Aguascalientes,Hombre,2007,12,31404.303
Baja California,Hombre,2007,12,40922.691
Baja California Sur,Hombre,2007,12,48509.684
Campeche,Hombre,2007,12,29309.031
Coahuila de Zaragoza,Hombre,2007,12,34402.398
Colima,Hombre,2007,12,34967.941
Chiapas,Hombre,2007,12,24700.01
Chihuahua,Hombre,2007,12,36178.156
Ciudad de México,Hombre,2007,12,39590.762
Durango,Hombre,2007,12,29290.207
Guanajuato,Hombre,2007,12,31658.225
Guerrero,Hombre,2007,12,29474.896
Hidalgo,Hombre,2007,12,35797.289
Jalisco,Hombre,2007,12,36386.723
México,Hombre,2007,12,30912.225
Michoacán de Ocampo,Hombre,2007,12,33058.871
Morelos,Hombre,2007,12,28904.443
Nayarit,Hombre,2007,12,33345.203
Nuevo León,Hombre,2007,12,42824.219
Oaxaca,Hombre,2007,12,28437.816
Puebla,Hombre,2007,12,28539.816
Querétaro,Hombre,2007,12,36686.309
Quintana Roo,Hombre,2007,12,41257.418
San Luis Potosí,Hombre,2007,12,31039.539
Sinaloa,Hombre,2007,12,40316.035
Sonora,Hombre,2007,12,36670.816
Tabasco,Hombre,2007,12,39543.598
Tamaulipas,Hombre,2007,12,36193.98
Tlaxcala,Hombre,2007,12,23614.574
Veracruz de Ignacio de la Llave,Hombre,2007,12,32176.521
Yucatán,Hombre,2007,12,28922.049
Zacatecas,Hombre,2007,12,31397.121
Aguascalientes,Hombre,2008,3,32995.969
Baja California,Hombre,2008,3,41865.016
Baja California Sur,Hombre,2008,3,46221.488
Campeche,Hombre,2008,3,29558.055
Coahuila de Zaragoza,Hombre,2008,3,35463.977
Colima,Hombre,2008,3,37840.172
Chiapas,Hombre,2008,3,24865.582
Chihuahua,Hombre,2008,3,40930.824
Ciudad de México,Hombre,2008,3,39714.484
Durango,Hombre,2008,3,29150.512
Guanajuato,Hombre,2008,3,31244.861
Guerrero,Hombre,2008,3,28121.326
Hidalgo,Hombre,2008,3,32357.045
Jalisco,Hombre,2008,3,37078.719
México,Hombre,2008,3,31074.455
Michoacán de Ocampo,Hombre,2008,3,33163.359
Morelos,Hombre,2008,3,27616.455
Nayarit,Hombre,2008,3,33419.449
Nuevo León,Hombre,2008,3,42172.848
Oaxaca,Hombre,2008,3,29770.016
Puebla,Hombre,2008,3,29139.516
Querétaro,Hombre,2008,3,35243.766
Quintana Roo,Hombre,2008,3,43724.707
San Luis Potosí,Hombre,2008,3,31121.381
Sinaloa,Hombre,2008,3,39095.035
Sonora,Hombre,2008,3,37767.082
Tabasco,Hombre,2008,3,38797.586
Tamaulipas,Hombre,2008,3,36695.734
Tlaxcala,Hombre,2008,3,24050.604
Veracruz de Ignacio de la Llave,Hombre,2008,3,30929.18
Yucatán,Hombre,2008,3,28746.637
Zacatecas,Hombre,2008,3,32223.303
Aguascalientes,Hombre,2008,6,31577.018
Baja California,Hombre,2008,6,39715.563
Baja California Sur,Hombre,2008,6,47648.332
Campeche,Hombre,2008,6,29393.934
Coahuila de Zaragoza,Hombre,2008,6,34311.602
Colima,Hombre,2008,6,35886.695
Chiapas,Hombre,2008,6,24625.613
Chihuahua,Hombre,2008,6,37462.82
Ciudad de México,Hombre,2008,6,37940.199
Durango,Hombre,2008,6,30069.266
Guanajuato,Hombre,2008,6,30665.984
Guerrero,Hombre,2008,6,29919.422
Hidalgo,Hombre,2008,6,34278.902
Jalisco,Hombre,2008,6,37444.34
México,Hombre,2008,6,30727.674
Michoacán de Ocampo,Hombre,2008,6,35343.992
Morelos,Hombre,2008,6,27612.934
Nayarit,Hombre,2008,6,32554.688
Nuevo León,Hombre,2008,6,41327.07
Oaxaca,Hombre,2008,6,29146.041
Puebla,Hombre,2008,6,27763.428
Querétaro,Hombre,2008,6,35528.535
Quintana Roo,Hombre,2008,6,43024.047
San Luis Potosí,Hombre,2008,6,31920.613
Sinaloa,Hombre,2008,6,37762.109
Sonora,Hombre,2008,6,38291.574
Tabasco,Hombre,2008,6,38805.965
Tamaulipas,Hombre,2008,6,37860.496
Tlaxcala,Hombre,2008,6,24079.742
Veracruz de Ignacio de la Llave,Hombre,2008,6,30964.816
Yucatán,Hombre,2008,6,27850.693
Zacatecas,Hombre,2008,6,35694.875
Aguascalientes,Hombre,2008,9,30935.477
Baja California,Hombre,2008,9,39187.988
Baja California Sur,Hombre,2008,9,42807.594
Campeche,Hombre,2008,9,28827.408
Coahuila de Zaragoza,Hombre,2008,9,33352.746
Colima,Hombre,2008,9,35302.629
Chiapas,Hombre,2008,9,24177.234
Chihuahua,Hombre,2008,9,36385.063
Ciudad de México,Hombre,2008,9,37323.594
Durango,Hombre,2008,9,28460.514
Guanajuato,Hombre,2008,9,30216.449
Guerrero,Hombre,2008,9,27005.012
Hidalgo,Hombre,2008,9,35850.5
Jalisco,Hombre,2008,9,35811.969
México,Hombre,2008,9,30780.67
Michoacán de Ocampo,Hombre,2008,9,31840.365
Morelos,Hombre,2008,9,27345.426
Nayarit,Hombre,2008,9,32199.029
Nuevo León,Hombre,2008,9,42235.262
Oaxaca,Hombre,2008,9,28102.955
Puebla,Hombre,2008,9,28654.281
Querétaro,Hombre,2008,9,34344.801
Quintana Roo,Hombre,2008,9,42246.039
