genero,ll_g,ul_g,genero_mco,ll_g_mco,ul_g_mco,n,year
-0.123370585,-0.135834731,-0.110906439,-0.117787759,-0.130349899,-0.105225619,63,2020
-0.124688515,-0.136035281,-0.11334175,-0.117787759,-0.130349899,-0.105225619,64,2020
-0.125872759,-0.13798539,-0.113760128,-0.117787759,-0.130349899,-0.105225619,65,2020
-0.125988459,-0.138534143,-0.113442776,-0.117787759,-0.130349899,-0.105225619,66,2020
-0.125955927,-0.139203926,-0.112707928,-0.117787759,-0.130349899,-0.105225619,67,2020
-0.127580237,-0.140713332,-0.114447142,-0.117787759,-0.130349899,-0.105225619,68,2020
-0.127907044,-0.140748498,-0.11506559,-0.117787759,-0.130349899,-0.105225619,69,2020
-0.128848991,-0.14240785,-0.115290131,-0.117787759,-0.130349899,-0.105225619,70,2020
-0.128100018,-0.142075556,-0.114124479,-0.117787759,-0.130349899,-0.105225619,71,2020
-0.129595774,-0.143819237,-0.11537231,-0.117787759,-0.130349899,-0.105225619,72,2020
-0.127989774,-0.142128536,-0.113851012,-0.117787759,-0.130349899,-0.105225619,73,2020
-0.126708231,-0.140378179,-0.113038282,-0.117787759,-0.130349899,-0.105225619,74,2020
-0.126736578,-0.14063855,-0.112834606,-0.117787759,-0.130349899,-0.105225619,75,2020
-0.124920487,-0.139203319,-0.110637656,-0.117787759,-0.130349899,-0.105225619,76,2020
-0.12763497,-0.142015222,-0.113254718,-0.117787759,-0.130349899,-0.105225619,77,2020
-0.127064746,-0.142512247,-0.111617245,-0.117787759,-0.130349899,-0.105225619,78,2020
-0.122669048,-0.138800332,-0.106537763,-0.117787759,-0.130349899,-0.105225619,79,2020
-0.12275832,-0.138462237,-0.107054404,-0.117787759,-0.130349899,-0.105225619,80,2020
-0.123328837,-0.139634458,-0.107023217,-0.117787759,-0.130349899,-0.105225619,81,2020
-0.124933796,-0.141827101,-0.108040492,-0.117787759,-0.130349899,-0.105225619,82,2020
-0.123358736,-0.139376978,-0.107340493,-0.117787759,-0.130349899,-0.105225619,83,2020
